81,S000123             ,MJBTBR30F2K210794   ,B8410FZ,B -8410-FZ ,CHV-TVR22B-MT  ,2003,Silver Metalik      ,C22NE25076841       ,2003-05-01,          
82,S000124             ,MJBTBR30F2K210597   ,B8411AW,B -8411-AW ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25073648       ,2003-05-01,          
83,S000125             ,MJBTBR30F2K210881   ,B8432AF,B -8432-AF ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25079174       ,2003-05-01,          
84,S000126             ,MJBTBR30F2K210592   ,B8432AW,B -8432-AW ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25073641       ,2003-05-01,          
85,S000127             ,MJBTBR30F2K210624   ,B8433AF,B -8433-AF ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25064578       ,2003-05-01,          
86,S000128             ,MJBTBR30F2K210599   ,B8434AF,B -8434-AF ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25073667       ,2003-05-01,          
87,S000129             ,MJBTBR30F2K210710   ,B8435FZ,B -8435-FZ ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25076879       ,2003-05-01,          
88,S000130             ,MJBTBR30F2K210625   ,B8436AF,B -8436-AF ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25073601       ,2003-05-01,          
89,S000131             ,MJBTBR30F2K210877   ,B8437AF,B -8437-AF ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25079153       ,2003-05-01,          
90,S000132             ,MJBTBR30F2K210504   ,B8437FZ,B -8437-FZ ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25069338       ,2003-05-01,          
91,S000133             ,MJBTBR30F2K210735   ,B8438FZ,B -8438-FZ ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25076804       ,2003-05-01,          
92,S000134             ,MJBTBR30F2K210879   ,B8444AF,B -8444-AF ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25079189       ,2003-05-01,          
93,S000135             ,MJBTBR30F3K211029   ,B8461EN,B -8461-EN ,CHV-TVR22B-MT  ,2003,Merah Metalik       ,C22NE25080556       ,2003-05-01,          
94,S000136             ,MJBTBR30F3K211040   ,B8462EN,B -8462-EN ,CHV-TVR22B-MT  ,2003,Hijau Tua Metalik   ,C22NE25079168       ,2003-05-01,          
95,S000137             ,MJBTBR30F3K211028   ,B8463EN,B -8463-EN ,CHV-TVR22B-MT  ,2003,Merah Metalik       ,C22NE25080610       ,2003-05-01,          
96,S000138             ,MJBTBR30F3K211034   ,B8465EN,B -8465-EN ,CHV-TVR22B-MT  ,2003,Hijau Tua Metalik   ,C22NE25079139       ,2003-05-01,          
97,S000139             ,MJBTBR30F2K210946   ,B8478EN,B -8478-EN ,CHV-TVR22B-MT  ,2003,Abu-abu Tua Metalik ,C22NE25079220       ,2003-05-01,          
98,S000140             ,MJBTBR30F3K211026   ,B8493EN,B -8493-EN ,CHV-TVR22B-MT  ,2003,Merah Metalik       ,C22NE25080555       ,2003-05-01,          
99,S000141             ,MJBTBR30F3K211037   ,B8495EN,B -8495-EN ,CHV-TVR22B-MT  ,2003,Hijau Tua Metalik   ,C22NE25080576       ,2003-05-01,          
100,S000142             ,MJBTBR30F3K211024   ,B8497EN,B -8497-EN ,CHV-TVR22B-MT  ,2003,Merah Metalik       ,C22NE25080552       ,2003-05-01,          
101,S000143             ,MJBTBR30F2K210864   ,B8499EN,B -8499-EN ,CHV-TVR22B-MT  ,2003,Abu-abu Metalik     ,C22NE25079121       ,2003-05-01,          
102,S000144             ,MJBTBR30F2K210863   ,B8501EN,B -8501-EN ,CHV-TVR22B-MT  ,2003,Abu-abu Metalik     ,C22NE25079161       ,2003-05-01,          
103,S000145             ,MJBTBR30F3K211038   ,B8502EN,B -8502-EN ,CHV-TVR22B-MT  ,2003,Hijau Tua Metalik   ,C22NE25080551       ,2003-06-01,          
104,S000146             ,MJBTBR30F2K210866   ,B8503EN,B -8503-EN ,CHV-TVR22B-MT  ,2003,Silver Metalik      ,C22NE25079124       ,2003-05-01,          
105,S000147             ,MJBTBR30F2K210807   ,B8507EN,B -8507-EN ,CHV-TVR22B-MT  ,2003,Silver Metalik      ,C22NE25079123       ,2003-05-01,          
106,S000148             ,MJBTBR30F3K211035   ,B8510EN,B -8510-EN ,CHV-TVR22B-MT  ,2003,Hijau Tua Metalik   ,C22NE25079172       ,2003-06-01,          
107,S000149             ,MJBTBR30F2K210947   ,B8511EN,B -8511-EN ,CHV-TVR22B-MT  ,2003,Abu-abu Tua Metalik ,C22NE25079218       ,2003-05-01,          
108,S000150             ,MJBTBR30F2K210796   ,B8512EN,B -8512-EN ,CHV-TVR22B-MT  ,2003,Silver Metalik      ,C22NE25076886       ,2003-05-01,          
109,S000151             ,MJBTBR30F3K210974   ,B8550N,B -8550-N  ,CHV-TVR22B-MT  ,2003,Hijau Tua Metalik   ,C22NE25079194       ,2003-06-01,          
110,S000152             ,MJBTBR30F2K210888   ,B8551N,B -8551-N  ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25079175       ,2003-05-01,          
111,S000153             ,MJBTBR30F2K210623   ,B8621FA,B -8621-FA ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25073582       ,2003-05-01,          
112,S000154             ,MJBTBR30F2K210882   ,B8622FA,B -8622-FA ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25079179       ,2003-05-01,          
113,S000155             ,MJBTBR30F2K210593   ,B8625FA,B -8625-FA ,CHV-TVR22B-MT  ,2003,Biru Muda Metalik   ,C22NE25073592       ,2003-05-01,          
114,S000156             ,MJBTBR30F2K210890   ,B8626FA,B -8626-FA ,CHV-TVR22B-MT  ,2003,Biru Tua Metalik    ,C22NE25079221       ,2003-05-01,          
