367,DLTMSGTYSS,Delta Mas                               
368,CPLAMDNSDR,"Capella Medan Duri,PT                   "
369,TNSRJKTLTM,"Tunas Ridean Latumenten,PT              "
370,RAGLJKTAPI,"Royal Auto Gallery,PT                   "
371,NISSJKTPDI,Indomobil Trada Nasional P Ind          
372,WMLSBDGYAN,"Wijaya Motor Lestari,PT                 "
373,ZZZZZZZZZZ,OTHER FOR PURCHASING                    
374,CLPSJKTSDR,Lembaga Penjamin Simpanan               
375,KBDMJKTKBY,Budi Motor                              
376,MNDLJKTMG2,Mandala Stationery                      
377,GMSTJKTMG2,Gemilang Stationery                     
378,CDSTJKTMG2,Cendana Perkasa                         
379,PKRSSUBKLS,Kristin Percetakan                      
380,PHRKJKTGRV,"Harapan Kita,UD                         "
381,SBSRJKTKRT,Sumber Sinar                            
382,CTAMJKTGLD,"Citra Aman,PD                           "
383,CINTJKTDTM,Inti Komputer                           
384,CDNWJKTGMP,Danawa Komputer                         
385,FRLSJKTMSI,"Forta Larese,PT                         "
386,PLKVJKTPLM,Palm Konveksi                           
387,GBPRTGRPAI,Gabrielle Production                    
388,RBRKJKTTPI,Rimba Raya Kencana                      
389,ASHRJKTGLD,Apotik Sehat Rezeki                     
390,FSNGJKTGLD,"Fisiung Jaya, Toko                      "
391,WHMDJKTGLD,"Wahana Medika, Toko                     "
392,MLJYJKTPPL,"Million Jaya, Toko                      "
393,WJYAJKTPPL,"Wijaya, Toko                            "
394,CBNIJKT,"BNI Jakarta,PT                          "
395,ROYLJKTPPL,"Royal, Toko                             "
396,VSJYJKTGLD,Vista Jaya                              
397,AGKEJKTGRG,Cahaya Inti Berca                       
398,DNMSJKTJBV,"Dinamis,Toko                            "
399,NWPLJKTRYM,"New Powercell, Toko                     "
400,SHTASJJKT,"Sahabat Abadi Sejahtera,PT              "
401,PRDNJKTBNR,"Perdana Jatipura,PT                     "
402,SYPTJKTTMR,"Surya Pertiwi,PT                        "
403,ACFRBDONRP,"Frigia AC Naripan, PT                   "
404,NISSBPNMST,"Wahana Lestari Balikpapan,PT            "
405,ASRISDJJGL,"Asri Motor,CV                           "
406,WAMRPKBSKH,"Wahana Meta Riau,PT                     "
407,SMABBNTCLG,"Sumber Agung Ban,Pd                     "
408,ADHSJOGMGL,"Astra Daihatsu Yogyakarta,PT            "
409,ASCOSUBSKN,"Asco Prima Mobilindo Sungkono,          "
410,UTGDJKTTSR,Untung Diesel                           
411,ADHSPLMAYN,"Astra Daihatsu Palembang,PT             "
412,ADHSLMPAYN,"Astra Daihatsu Lampung,PT               "
413,AUT2JKTBTR,"A 2000 Bintaro,PT                       "
414,TBMTBTSCLG,Turbo Motor                             
415,ACMJBPNMJS,Mega Jaya Variasi                       
416,AUT2JKTGRD,"A 2000 Garuda,PT                        "
417,BDMTJKTKBL,Budi Motor                              
418,JOLOKDRERL,Jolo Indah                              
419,FORDJKTMTH,"Putra Borneo Nusantara I,PT             "
420,TKJSJKTSWB,"JS, Toko                                "
421,LIEKMJKRBP,"Liek Motor,PT                           "
422,ADHSBDOASA,"Astra Daihatsu Bandung ASA,PT           "
423,NISSPLGDLD,"Wahana Dikara Palembang,PT              "
424,COC7JKTLPS,"Ocean Seven,PT                          "
425,FORDDPSGST,"Sumber Sukses Mobilindo S,PT            "
426,ADHSSRGMJP,"Astra Daihatsu Semarang,PT              "
427,BSBGJKTGNS,"Sinar Bahagia Gajah Mada,PT             "
428,STMXSGTYSS,"Stimax/Maniac,CV                        "
429,SNMSTSMKHM,"Sinar Mas Tasikmalaya,CV                "
430,ADHSBDOCBR,"Astra Daihatsu Bandung CBR,PT           "
431,CCARJOG,"AJ. Central Asia Raya Jog,PT            "
432,AUT2JKTSLB,"A 2000 Salemba,PT                       "
433,REMSJKTDMT,REM Autobody & Maintenance              
434,ADHSJKTSTR,"Astra Daihatsu Sunter,PT                "
435,FORDSRGGJM,"Mitrabuana Citra Abadi,PT               "
436,*OLI,Over Head OLI                           
437,*SPAREPART,Over Head Sparepart                     
438,*OTHERS,Over Head Others                        
439,CKPSUPG,Kopindosat Makassar                     
440,B3SDJKTTJD,"Surya Solusindo Servitama,PT            "
441,CTLKMPNK,Telkom Pontianak                        
442,CCARPNK,"AJ. Central Asia Raya Pnk,PT            "
443,BSBRSOLKST,Sumber Rejeki Kol Sutarto Solo          
444,FORDSMDMYN,United Mobil International SMD          
445,ACPMBPNMTH,Putra Mandiri                           
446,BBMTLMPRHM,"Budi Berlian Motor,PT                   "
447,RHRNRMB,Opr Harent Ramba                        
448,MRBMPKBDPG,Murni Berlian Motor                     
449,INDBSUBUDW,Indo Ban Variasi                        
450,BJMTBPNMMI,Bunda Jaya Motor                        
451,FORDPNKIMB,United Mobil International PNK          
452,ACKJJKTSKW,"Kikijaya Airconindo SWH BSR,PT          "
453,CKRAFTBDO,"Kraft Foods Bandung,PT                  "
454,ACACSGTAMS,"Anugerah Chandra,CV                     "
455,ADHSBGRPJR,"Astra Daihatsu Bogor Pjjrn,PT           "
456,BMCMSMGSDR,Manggala Cipta Manunggal                
457,SHOPSMGSDR,"Meka Adipratama,PT shop&Drive           "
458,CCARMDC,"Aj. Central Asia Raya Mdc,PT            "
459,BMJMPLMWHS,"Berlian Maju Motor,PT                   "
460,NSMKPWKGYT,"Nasmoco Purwokerto,PT                   "
461,BNBJJKTMRY,"Nasional Banindo Jaya,PT                "
462,CMBIMDC,MBI Manado                              
463,BADMBWIPJT,"Andi Motor-Banyuwangi,UD                "
464,ASMTPKUKNS,"Autostar Mandiri Teknotama,PT           "
465,CSHJSMDCMR,"Surya Hutani Jaya,PT                    "
466,CKRAFTUPG,"Kraft Foods Makassar,PT                 "
467,CMBIBDO,MBI Bandung                             
468,NSTRPKRTLR,"Nusantara Indah Palangkarya,PT          "
469,BMJUMDNSMH,Maju Ban.UD                             
470,ADHSTGLKSN,"Astra Daihatsu Tegal,PT                 "
471,BMGBSMPSDR,Mega Ban (UM)                           
472,BLTRJKTPLP,"Terra Prospera (Andala),CV              "
473,SBSPPLMSYN,"Saribumi Sriguna Putra,PT               "
474,SMJAJKTNST,"Sumara Jaya Abadi,PT                    "
475,CMCSJKTSTR,"Mandiri Cipta Sejahtera,PT              "
476,FORDMKSPTN,"Kumala Prima Motor,PT                   "
477,ANZNPNKAYN,"Anzon Autoplaza Pontianak,PT            "
