290,TRALINGKA,PT. TRANSLINGKAR KITA JAYA                                                      
291,KARNUGRA,PT. KARUNIA NUGRATAMA                                                           
292,MBLCEPU,BUT. MOBIL CEPU LTD                                                             
293,HUSKYOIL,HUSKY OIL (MADURA) LTD.                                                         
294,BMEGASYA,PT. BANK MEGA SYARIAH                                                           
295,PHILIPIND,PT. PHILIPS INDONESIA                                                           
296,YAKESTEL,YAYASAN KESEHATAN PEGAWAI TELKOM                                                
297,MAYOIN,PT. MAYORA INDAH TBK                                                            
298,MUMABA,PT. MULTI MAMAHAK BATUBARA                                                      
299,TELKOMINTL,PT. TELEKOMUNIKASI INDONESIA INTERNATIONAL                                      
300,SUCOFAPUT,PT. SUCOFINDO APPRAISAL UTAMA                                                   
301,HTLCIPUTRA,PT. CIPUTRA SENTRA                                                              
302,PERMINAHEO,PERTAMINA HULU ENERGI ONWJ LTD                                                  
303,AGUBAKUTAM,PT. AGUNG BAKTI UTAMA                                                           
304,CIPUTRASEN,PT. CIPUTRA SENTRA                                                              
305,IWANAPUTRA,CV. IWANA PUTRA                                                                 
306,PETRINTJBG,BUT PETROCHINA INTERNATIONAL JABUNG LTD                                         
307,TRIPUGLOBA,PT. TRIPUTRA GLOBALINDO                                                         
308,HTLRAMAPLC,PT. HOTEL RAMAPALACE COTTAGE                                                    
309,ORICAMNSRV,PT. ORICA MINING SERVICES                                                       
310,BAHTERADHI,PT. BAHTERA ADHIGUNA (PERSERO)                                                  
311,EXXONMADAR,EXXONMOBIL EXPLORATION AND PRODUCTION INDONESIA (M                              
312,INPEXCORPO,BUT. INPEX CORPORATION                                                          
313,HRMSMARANG,PT. HARTONO RAYA MOTOR                                                          
314,KALNITINDO,PT. KALTIM NITRATE INDONESIA                                                    
315,INDOGASMET,PT. INDOBARAMBAI GAS METHAN                                                     
316,PERTAMIGEN,PT. PERTAMINA GEOTHERMAL ENERGY (PGE)                                           
317,TRIGASMETH,PT. TRISAKTI GAS METHAN                                                         
318,CITRALESAN,PT. CITRA LESTARI ANUGRAH                                                       
319,ELNUSARAMB,ELNUSA TRISTAR RAMBA LIMITED                                                    
320,BUMIANDPER,PT. BUMI ANDALAS PERMAI                                                         
321,MITSUBELTI,PT. MITSUBOSHI BELTING INDONESIA                                                
322,BEKSEKUTIF,"PT. BANK EKSEKUTIF INTERNASIONAL, TBK                                           "
323,HOLCIMBETO,PT. HOLCIM BETON                                                                
324,PETROCPPEJ,JOB PERTAMINA - PETROCHINA EAST JAVA                                            
325,PERMIEPJBI,PT. PERTAMINA EP UBEP JAMBI                                                     
326,PERMIEPRMB,PT. PERTAMINA EP ASSET 1 FIELD RAMBA                                            
327,BBTNEGARA2,PT. BANK TABUNGAN NEGARA (PERSERO)                                              
328,PGASSOLUTI,PT. PGAS SOLUTION                                                               
329,EXXONCENDR,EXXONMOBIL EXPLORATION AND PRODUCTION INDONESIA (C                              
330,TOTALEPIND,TOTAL E&P INDONESIE                                                             
331,PHEONWJAVA,PT. PERTAMINA HULU ENERGI OFFSHORE NORTH WEST JAVA                              
332,BANKBJBPUS,"PT. BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN,                              "
333,BBJBPUSATT,"PT. BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN,                              "
334,AJIWASRAYA,PT. ASURANSI JIWASRAYA (PERSERO)                                                
335,BBJBPUSJKT,"PT. BANK PEMBANGUNAN DAERAH JAWA BARAT DAN BANTEN,                              "
336,BMUTIARAPS,"PT. BANK MUTIARA, TBK                                                           "
337,PERMINAPEG,PT. PERTAMINA (PERSERO)                                                         
338,PERMIEPTJG,PT. PERTAMINA EP UBEP TANJUNG                                                   
339,PERSONALDA,PT. PERSONEL ALIH DAYA                                                          
340,BPEXPLORAT,BUT. BP EXPLORATION INDONESIA LTD                                               
341,MERCEMBINA,PT. MERCEDES BENZ INDONESIA                                                     
342,PHEWMOSRBY,PT. PERTAMINA HULU ENERGI WEST MADURA OFFSHORE                                  
343,KSTEELITEC,PT. KRAKATAU INFORMATION TECHNOLOGY                                             
344,COOPERENER,BUT. COOPER ENERGY SUMBAGSEL LTD                                                
345,TGITRANSGA,PT. TRANSPORTASI GAS INDONESIA                                                  
346,DAIRIPRIMA,PT. DAIRI PRIMA MINERAL                                                         
347,MERCEMBIDI,PT. MERCEDEZ BENZ DISTRIBUTION INDONESIA                                        
348,LINKNETSBY,PT. LINK NET                                                                    
349,BEXIMPUSAT,LEMBAGA PEMBIAYAAN EKSPOR INDONESIA(INDONESIA EXIMBANK)                         
350,HRMDENPSAR,PT. HARTONO RAYA MOTOR                                                          
351,PHEPUSSJKT,PT. PERTAMINA HULU ENERGI                                                       
352,TRIPUGLOPR,PT. TRIPUTRA GLOBALINDO PRATAMA                                                 
353,BMANDRINVE,PT. PENGELOLA INVESTAMA MANDIRI                                                 
354,EMPKONDURP,BUT. KONDUR PETROLEUM SA                                                        
355,BBRISURABY,KANTOR INSPEKSI BRI SURABAYA                                                    
356,ANTAMLGMMU,PT. ANTAM (PERSERO) TBK UBPP LOGAM MULIA                                        
357,EMPMOSESAP,PT. MOSESA PETROLEUM                                                            
358,EMPINSANIM,PT. INSANI MITRASANI GELAM                                                      
359,EMPARTHAWP,PT. ARTHA WIDYA PERSADA                                                         
360,EMPVISIMUL,PT. VISI MULTI ARTHA                                                            
361,EMPSEMBERA,PT. SEMBERANI PERSADA OIL                                                       
362,EMPKAKORIN,BUT.KALILA (KORINCI BARU) LIMITED                                               
363,EMPKABENTU,BUT.KALILA (BENTU) LIMITED                                                      
364,BPUNDIINDO,PT. BANK PUNDI INDONESIA TBK                                                    
365,BUMIJASAUT,PT. BUMI JASA UTAMA                                                             
366,TRANSASIAE,PT.TRANSASIA ENERGY RESOURCES                                                   
367,PERTAMEDIK,PT. RUMAH SAKIT PERTAMINA PRABUMULIH                                            
368,BBNIMKASAR,PT. BANK NEGARA INDONESIA (PERSERO) TBK                                         
